shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
10125,50.340408,3.550346,20009
10125,50.340691,3.550199,20010
10125,50.340950,3.549989,20011
10125,50.341078,3.549877,20012
10125,50.341198,3.549757,20013
10125,50.341248,3.549713,20014
10125,50.341324,3.549628,20015
10125,50.341360,3.549585,20016
10125,50.341360,3.549585,30001
10125,50.341545,3.549364,30002
10125,50.342359,3.551136,30003
10125,50.342520,3.551472,30004
10125,50.342655,3.551737,30005
10125,50.342798,3.551996,30006
10125,50.342869,3.552067,30007
10125,50.342937,3.552174,30008
10125,50.342974,3.552240,30009
10125,50.342961,3.552268,30010
10125,50.342951,3.552302,30011
10125,50.342945,3.552347,30012
10125,50.342946,3.552384,30013
10125,50.342951,3.552421,30014
10125,50.342960,3.552455,30015
10125,50.342979,3.552490,30016
10125,50.343003,3.552514,30017
10125,50.343030,3.552528,30018
10125,50.343053,3.552533,30019
10125,50.343076,3.552532,30020
10125,50.343105,3.552524,30021
10125,50.343129,3.552510,30022
10125,50.343146,3.552493,30023
10125,50.343246,3.552626,30024
10125,50.343411,3.552833,30025
10125,50.343649,3.553091,30026
10125,50.343799,3.553240,30027
10125,50.344035,3.553447,30028
10125,50.344126,3.553558,30029
10125,50.344314,3.553692,30030
10125,50.344496,3.553810,30031
10125,50.344738,3.553956,30032
10125,50.345170,3.554207,30033
10125,50.345239,3.554252,30034
10125,50.345239,3.554252,40001
10125,50.345359,3.554329,40002
10125,50.345399,3.554359,40003
10125,50.345461,3.554418,40004
10125,50.345492,3.554458,40005
10125,50.345535,3.554527,40006
10125,50.345596,3.554606,40007
10125,50.345648,3.554688,40008
10125,50.345644,3.554740,40009
10125,50.345653,3.554806,40010
10125,50.345662,3.554855,40011
10125,50.345668,3.554877,40012
10125,50.345685,3.554913,40013
10125,50.345696,3.554930,40014
10125,50.345724,3.554967,40015
10125,50.345745,3.554988,40016
10125,50.345776,3.555005,40017
10125,50.345807,3.555017,40018
10125,50.345853,3.555023,40019
10125,50.345882,3.555018,40020
10125,50.345913,3.555007,40021
10125,50.345935,3.554995,40022
10125,50.345961,3.554972,40023
10125,50.345983,3.554945,40024
10125,50.346002,3.554905,40025
10125,50.346014,3.554866,40026
10125,50.346025,3.554820,40027
10125,50.346032,3.554775,40028
10125,50.346034,3.554719,40029
10125,50.346035,3.554674,40030
10125,50.346029,3.554638,40031
10125,50.346019,3.554597,40032
10125,50.345999,3.554549,40033
10125,50.345977,3.554510,40034
10125,50.345951,3.554481,40035
10125,50.345922,3.554460,40036
10125,50.345892,3.554445,40037
10125,50.345927,3.554282,40038
10125,50.346014,3.553984,40039
10125,50.346158,3.553619,40040
10125,50.346291,3.553288,40041
10125,50.346558,3.552568,40042
10125,50.346664,3.552307,40043
10125,50.347317,3.550749,40044
10125,50.347542,3.550221,40045
10125,50.347542,3.550221,50001
10125,50.347633,3.550007,50002
10125,50.347776,3.549670,50003
10125,50.348421,3.548163,50004
10125,50.348621,3.547697,50005
10125,50.349086,3.546586,50006
10125,50.349346,3.546036,50007
10125,50.349600,3.545427,50008
10125,50.350022,3.544450,50009
10125,50.350022,3.544450,60001
10125,50.350087,3.544299,60002
10125,50.350204,3.544027,60003
10125,50.350389,3.543591,60004
10125,50.350495,3.543345,60005
10125,50.350567,3.543208,60006
10125,50.350633,3.543039,60007
10125,50.350699,3.542863,60008
10125,50.350732,3.542724,60009
10125,50.350768,3.542579,60010
10125,50.350834,3.542195,60011
10125,50.350842,3.542145,60012
10125,50.350968,3.541314,60013
10125,50.351073,3.540754,60014
10125,50.351105,3.540584,60015
10125,50.351131,3.540450,60016
10125,50.351252,3.539827,60017
10125,50.351252,3.539827,70001
10125,50.351309,3.539534,70002
10125,50.351345,3.539424,70003
10125,50.351959,3.537407,70004
10125,50.352300,3.536411,70005
10125,50.352662,3.535124,70006
10125,50.352724,3.534850,70007
10125,50.352782,3.534762,70008
10125,50.352842,3.534517,70009
10125,50.352842,3.534517,80001
10125,50.352897,3.534296,80002
10125,50.352948,3.534087,80003
10125,50.352998,3.533879,80004
10125,50.353097,3.533501,80005
10125,50.353195,3.533139,80006
10125,50.353264,3.532880,80007
10125,50.353311,3.532656,80008
10125,50.353355,3.532510,80009
10125,50.353352,3.532350,80010
10125,50.353410,3.532139,80011
10125,50.353638,3.531290,80012
10125,50.353654,3.531232,80013
10125,50.353743,3.530901,80014
10125,50.353791,3.530710,80015
10125,50.353835,3.530626,80016
10125,50.353918,3.530354,80017
10125,50.353971,3.530133,80018
10125,50.353992,3.530063,80019
10125,50.354023,3.529951,80020
10125,50.354065,3.529814,80021
10125,50.354081,3.529818,80022
10125,50.354134,3.529806,80023
10125,50.354208,3.529898,80024
10125,50.354292,3.529963,80025
10125,50.354427,3.530046,80026
10125,50.354794,3.530269,80027
10125,50.354794,3.530269,90001
10125,50.355277,3.530563,90002
10125,50.355429,3.530663,90003
10125,50.356682,3.531434,90004
10125,50.357300,3.531835,90005
10125,50.357419,3.531906,90006
10125,50.357541,3.531985,90007
10125,50.357617,3.532034,90008
10125,50.357716,3.532099,90009
10125,50.357801,3.532143,90010
